"index","value"
"CFI",0.994
"TLI",0.992
"RMSEA",0.097
"RMSEA_CI_LOWER",0.056
"RMSEA_CI_UPPER",0.134
"SRMR",0.032
"HC_SC_COMPOSITE_R",0.865
"N",78
